Use Case Scenario #01: Fire Open Space - Fire-Fighters Needed,,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,,Decision
202,Medium: 1-5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
203,Medium: 1-5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
204,Medium: 1-5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
205,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Flat,Scrubland,Medium: 20-60
206,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
207,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Slopping,Scrubland,Medium: 20-60
208,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
209,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,Medium: 20-60
210,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
211,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
212,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
213,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
214,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
215,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
216,Medium: 1-5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
217,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
218,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
219,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
220,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
221,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
222,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
223,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
224,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
225,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High: 30+ °C,Flat,Scrubland,High: >60
226,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
227,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
228,High: > 5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
229,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
230,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
231,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
232,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
233,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
234,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
235,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
236,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
237,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
238,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
239,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
240,High: > 5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
241,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
242,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
243,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
244,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
245,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
246,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
247,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
248,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
249,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
250,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
251,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
252,High: > 5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
253,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
254,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
255,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
256,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
257,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
258,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
259,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
260,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
261,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,High: 30+ °C,Flat,Scrubland,High: >60
262,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
263,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
264,High: > 5 Sq. Km,Medium: 1000-5000,Low: 0-5 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
265,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
266,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
267,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
268,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
269,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
270,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
271,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
272,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
273,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
274,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
275,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
276,High: > 5 Sq. Km,Medium: 1000-5000,Medium: 5-8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
277,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
278,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
279,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
280,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
281,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
282,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
283,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
284,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
285,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
286,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
287,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
288,High: > 5 Sq. Km,Medium: 1000-5000,High: > 8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
289,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
290,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
291,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
292,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
293,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
294,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
295,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
296,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
297,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,High: 30+ °C,Flat,Scrubland,High: >60
298,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
299,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
300,High: > 5 Sq. Km,High: >5000,Low: 0-5 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
301,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
302,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
303,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
304,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
305,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
306,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
307,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
308,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
309,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
310,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
311,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
312,High: > 5 Sq. Km,High: >5000,Medium: 5-8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
313,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Flat,Scrubland,High: >60
314,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Flat,Coniferous forest,High: >60
315,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Slopping,Scrubland,High: >60
316,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Low: < 20 °C,Slopping,Coniferous forest,High: >60
317,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Scrubland,High: >60
318,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Flat,Coniferous forest,High: >60
319,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Scrubland,High: >60
320,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,Medium: 20 – 30 °C,Slopping,Coniferous forest,High: >60
321,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Flat,Scrubland,High: >60
322,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Flat,Coniferous forest,High: >60
323,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Slopping,Scrubland,High: >60
324,High: > 5 Sq. Km,High: >5000,High: > 8 Bft,High: 30+ °C,Slopping,Coniferous forest,High: >60
